productNo,category,brand,name,pricePerQuantity,mrp,price,description,img,available,createdAt
19,Dals & Pulses,Basmati Rice,India Gate Basmati Rice - Feast Rozzana ,5 kgs,485.00,349.00,India Gate Basmati Rice - Feast Rozzana ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
20,Dals & Pulses,India Gate Basmati Rice,India Gate Mini Mogra Basmati Rice , 10 kgs,535.00,495.00,India Gate Mini Mogra Basmati Rice ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
21,Dals & Pulses,India Gate Basmati Rice,India Gate Regular Choice Basmati Rice ,5 kgs,445.00,351.00,India Gate Regular Choice Basmati Rice ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
22,Dals & Pulses,India Gate Basmati Rice,India Gate Basmati Rice - Tibar,5 kgs,645.00,516.00,India Gate Basmati Rice - Tibar,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
23,Dals & Pulses,India Gate Basmati Rice,India Gate Basmati Rice - Dubar , 5 kgs,610.00,503.00,India Gate Basmati Rice - Dubar ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
24,Dals & Pulses,India Gate Basmati Rice,India Gate Basmati Rice - Mogra,5 kgs,380.00,316.00,India Gate Basmati Rice - Mogra,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
25,Dals & Pulses,India Gate Basmati Rice,India Gate Basmati Rice - Mini Mogra-II - Kanki , 10 kgs,405.00,365.00,India Gate Basmati Rice - Mini Mogra-II - Kanki ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
26,Dals & Pulses,Daawat  Basmati Rice,Daawat Rozana Super Basmati Rice,5 kgs,435.00,313.00,Daawat Rozana Super Basmati Rice,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
27,Dals & Pulses,Daawat  Basmati Rice,Daawat Rozana Mini Mogra Basmati Rice,5 kgs,265.00,235.00,Daawat Rozana Mini Mogra Basmati Rice,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
28,Dals & Pulses,Daawat  Basmati Rice,Daawat Devaaya Basmati Rice ,5 kgs,545.00,395.00,Daawat Devaaya Basmati Rice ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
29,Dals & Pulses,Daawat  Basmati Rice,Daawat Biryani Basmati Rice ,1 kg,220.00,187.00,Daawat Biryani Basmati Rice ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
30,Dals & Pulses,Daawat  Basmati Rice,Daawat Super Basmati Rice  ,1 kg,165.00,126.00,Daawat Super Basmati Rice  ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
31,Dals & Pulses,Daawat  Basmati Rice,Daawat Brown Basmati Rice  ,1 kg,165.00,152.00,Daawat Brown Basmati Rice  ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
32,Dals & Pulses,Daawat  Basmati Rice,Daawat Rozana Basmati Rice - Gold , 5 kgs,495.00,402.00,Daawat Rozana Basmati Rice - Gold ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
33,Dals & Pulses,Daawat  Basmati Rice,Daawat Pulav Basmati Rice,1 kg,120.00,111.00,Daawat Pulav Basmati Rice,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
34,Dals & Pulses,Kohinoor Charminar Select,Kohinoor Charminar Select - Basmati Rice ,5 kgs,569.00,399.00,Kohinoor Charminar Select - Basmati Rice ,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
35,Dals & Pulses,Kohinoor Charminar Select,Kohinoor Charminar - Rozana Basmati Rice : 5 kgs,5 kgs,515.00,416.00,Kohinoor Charminar - Rozana Basmati Rice : 5 kgs,,true,"JULY 29, 2020 at 12:00:00 PM UTC+5:30"
